Version,Target,Damage,Alias,Region,Characters,Notes
2.3,Floor 7-2-1,802324,"<a href=""https://www.youtube.com/watch?v=boS5fYVQNP4"">Lux</a>",Asia,Tartaglia Bennett Sucrose Mona,Elemental Burst
2.2,Floor 7-3-1,701657,"<a href=""https://www.youtube.com/watch?v=fxwFO2EmcYw"">kanemoto</a>",Asia,Tartaglia Bennett Sucrose Yanfei,Elemental Burst
2.2,Floor 7-1-1,658414,"<a href=""https://www.youtube.com/watch?v=UcFLAawIW-g"">tamilpp25</a>",Asia,Tartaglia Sucrose Bennett Mona,Elemental Burst
2.1,Floor 7-3-1,640595,"<a href=""https://www.youtube.com/watch?v=e8Q5F-ZQz80"">ViTa</a>",Asia,Tartaglia Mona Bennett Sucrose,Elemental Burst
2.0,Floor 7-3-1,533822,"<a href=""https://youtu.be/vOGZH9OBXkA"" rel=""noopener"" target=""_blank"">Sakura_Ayane</a>",America,Zhongli Ningguang Mona Bennett,Elemental Burst
2.2,Floor 7-2-1,506548,"<a href=""https://www.youtube.com/watch?v=JhkmJxLf6dI"">Lao</a>",Europe,Hutao Bennett Sucrose Mona,Charge Attack
2.2,Floor 7-2-1,503943,"<a href=""https://www.youtube.com/watch?v=SlKrQIbD32A"">L</a>",America,Aloy Sucrose Bennett Mona,Elemental Burst
2.3,Floor 7-2-1,268790,"<a href=""https://www.youtube.com/watch?v=3X__Pe4iPak"">Hiro</a>",Europe,Amber Bennett Sucrose Mona,Elemental Skill
2.2,Floor 12-2-1,239302,"<a href=""https://www.youtube.com/watch?v=1yPAzV_aC8s"">Shintenzu</a>",Europe,Xiao Diona Kazuha Bennett,Plunge Attack
2.1,Floor 7-1-1,228266,"<a href=""https://www.youtube.com/watch?v=232vPwHuBB8"">mango</a>",Asia,Bennett Sucrose Mona Diona,Elemental Burst
2.3,Floor 7-2-1,202346,"<a href=""https://www.youtube.com/watch?v=ELTE2M5S56U"">Lux</a>",Asia,Qiqi Bennett Sucrose Mona,Elemental Burst
2.3,Floor 7-3-2,183369,"<a href=""https://www.youtube.com/watch?v=If9MDimaafg"">L</a>",America,Fischl Kazuha Bennett Mona,Elemental Skill
2.2,Floor 7-3-1,164221,"<a href=""https://www.youtube.com/watch?v=QG2FRvhWXcE"">L</a>",America,Fischl Kazuha Bennett Mona,Elemental Skill
2.1,Floor 7-3-1,113146,"<a href=""https://www.youtube.com/watch?v=g14vbk-dEds"">SoeRedFox</a>",Europe,Amber Chongyun Kazuha Bennett,Charge Shot
2.2,Floor 7-1-1,97833,"<a href=""https://www.youtube.com/watch?v=a5SR64fMGfQ"">CelestialStag</a>",America,Razor Bennett Rosaria Xinyan,Normal Attack 4
