Version,Damage,Alias,Region,Supports,Notes
2.3,1100446,"<a href=""https://youtu.be/gFt55D53Yew"">MalCoa</a>",Asia,Bennett Kazuha Mona,"Elemental Skill
Food Buff"
2.1,969983,"<a href=""https://www.youtube.com/watch?v=A8eyn0npKl0&ab_channel=Cenpi"" rel=""noopener"" target=""_blank"">Cenpi</a>",America,Bennett Kazuha Mona,"Elemental Skill
Food Buffs"
1.6,666115,"<a href=""https://www.youtube.com/watch?v=OZNPiA_JqOo"" rel=""noopener"" target=""_blank"">dreamsick</a>",America,Bennett Mona Sucrose,"Elemental Skill
Food Buffs"
