Version,Damage,Alias,Region,Supports,Notes
2.3,246141,"<a href=""https://youtu.be/2KzPxx5yiUY"">Skizdal</a>",Europe,Mona Bennett Sucrose,"Elemental Burst
Food Buff
Stunned"
2.3,204422,"<a href=""https://youtu.be/t0y0l24whlI"">Skizdal</a>",Europe,Mona Bennett Sucrose,Elemental Burst
2.3,182082,"<a href=""https://www.youtube.com/watch?v=31MNIInQY38"">Klee Mania</a>",America,Xiangling Bennett Kazuha Mona,"Elemental Burst
Food Buffs"
2.2,181401,"<a href=""https://www.youtube.com/watch?v=xsXqmTxVuxg"">pewpew</a>",Europe,Bennett Kazuha Mona,"Elemental Burst
Food Buffs"
2.3,175371,"<a href=""https://youtu.be/egA7fvFELgM"">inoriy401</a>",America,Kazuha Ayaka Bennett,"Elemental Burst 
Food Buff"
2.2,173509,"<a href=""https://www.youtube.com/watch?v=Zl7eC9o1Ot4"">Xanoken_1007</a>",Asia,Bennett Sucrose Mona,"Elemental Burst
Food Buffs"
