Version,Damage,Alias,Region,Supports,Notes
2.1,668704,"<a href=""https://www.youtube.com/watch?v=iiZrxN4Xv4M"">ติ่งท่านแม่ไรเดน</a>",Asia,Kazuha Bennett Klee,"Elemental Skill
Food Buffs
"
2.0,620878,"<a href=""https://www.youtube.com/watch?v=fM_SQTwnKFc&ab_channel=Pikprakai"" rel=""noopener"" target=""_blank"">PikGeast</a>",Asia,Bennett Kazuha Klee,"Elemental Skill
Food Buffs"
2.3,531838,"<a href=""https://www.youtube.com/watch?v=LqPFi8m5T-Q"">inoriy401</a>",America,Kazuha Mona Bennett,"Elemental Skill
Food Buffs"
2.1,318877,"<a href=""https://www.youtube.com/watch?v=DYsSIvRxv5A"">Solvi</a>",America,Bennett Kazuha Klee,"Elemental Burst Tick
Food Buffs"
2.3,295836,"<a href=""https://www.youtube.com/watch?v=iLVsmp0UNeA"">space</a>",Asia,Mona Kazuha Bennett,"Elemental Skill
Food Buffs
Coop"
2.2,259520,"<a href=""https://www.youtube.com/watch?v=GFhQr1j-fZ8"">inoriy401</a>",America,Kazuha Mona Bennett,"Elemental Burst Tick
Food Buffs"
2.2,106072,"<a href=""https://www.youtube.com/watch?v=lQ_HgIPDAkk"">inoriy401</a>",America,Kazuha Mona Bennett,"Elemental Burst Tick
Food Buffs"
2.3,62968,"<a href=""https://www.youtube.com/watch?v=BmT0d5VDmBg"">space</a>",Asia,Kazuha Mona Bennett,"Elemental Burst Tick
Food Buffs
Coop"
