Version,Damage,Alias,Region,Supports,Notes
2.2,431164,"<a href=""https://www.youtube.com/watch?v=jqGvmaA7l6U"">Zhaan</a>",Asia,Bennett Sucrose Diona,"Elemental Skill
Food Buffs
Stunned"
2.1,342177,"<a href=""https://youtu.be/EWdyghGk1tU"">Zhaan</a>","Asia ",Bennett Diona Sucrose,"Elemental Skill
Food Buffs
Stunned"
2.1,281074,"<a href=""https://youtu.be/NBlhVc6B-g8"">Zhaan</a>",Asia,Bennett Diona Sucrose,"Elemental Skill
Food Buffs"
2.1,258687,"<a href=""https://www.youtube.com/watch?v=05gFgkiki_Q"">Zhaan</a>",Asia,Bennett Sucrose Diona,"Elemental Skill
Food Buff"
