Version,Damage,Alias,Region,Supports,Notes
2.3,1219235,"<a href=""https://www.youtube.com/watch?v=sphoxZX97u0"">chymchym1905</a>",Asia,Zhongli Sucrose Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,1177564,"<a href=""https://youtu.be/hy6rbihX2x4"">Zeep</a>",Europe,Bennett Sucrose Zhongli,"Elemental Burst
Food Buffs
Stunned"
2.3,1119069,"<a href=""https://www.youtube.com/watch?v=6ADlU78BQh0"">joseph</a>",America,Zhongli Sucrose Bennett,"Elemental Burst
Food Buffs
Stunned"
2.3,1083952,"<a href=""https://www.youtube.com/watch?v=qTTvtfSqu14"">joseph</a>",America,Zhongli Sucrose Bennett,"Elemental Burst
Food Buffs
Stunned"
2.2,1004791,"<a href=""https://www.youtube.com/watch?v=zeN6QccOslE"">chymchym1905</a>",Asia,Yanfei Sucrose Bennett,"Elemental Burst
Food Buffs"
