Version,Damage,Alias,Region,Supports,Notes
2.3,231158,"<a href=""https://www.youtube.com/watch?v=l-QJEJaVUxg"">PikGeast</a>",Asia,Bennett Sara Kazuha,"Elemental Burst
Food Buffs
Stunned"
2.1,180951,"<a href=""https://www.youtube.com/watch?v=7ZO57S5_fhc"">youyou6093</a>",America,Bennett Kazuha Mona,"Elemental Burst
Food Buffs
Stunned"
2.1,174333,"<a href=""https://www.youtube.com/watch?v=KvZUBPphrdU"">BobbyMcFinnland</a>",America,Klee Sara Sayu,"Elemental Burst
Food Buff"
2.3,79462,"<a href=""https://www.youtube.com/watch?v=HFKkE1nBvPs"">space</a>",Asia,Bennett Sara Kazuha,"Elemental Burst
Food Buffs
Coop"
