Version,Damage,Alias,Region,Supports,Notes
2.1,685440,"<a href=""https://www.youtube.com/watch?v=mZh8utVnUD4"">Chang死神TV</a>",Asia,Klee Bennett Kazuha,"Charge Shot Bloom
Food Buff
Stunned"
1.6,585532,"<a href=""https://youtu.be/yjgOfryci20"" rel=""noopener"" target=""_blank"">Aliss</a>",America,Kazuha Bennett Klee,"Charged Shot Bloom
Food Buffs
Legend of the Vagabond"
1.6,575749,"<a href=""https://clips.twitch.tv/DreamyExquisiteFalconOpieOP-StJJHmHFXyAzOnYE"" rel=""noopener"" target=""_blank"">fobm4ster</a>",America,Kazuha Bennett Klee,"Charged Shot Bloom
Food Buffs
Legend of the Vagabond"
1.6,532537,"<a href=""https://youtu.be/HeD52Az0oT4"" rel=""noopener"" target=""_blank"">Yukarix</a>",America,Kazuha Bennett Klee,"Charged Shot Bloom
Food Buffs
Legend of the Vagabond"
