Version,Damage,Alias,Region,Supports,Notes
2.2,353930,"<a href=""https://www.youtube.com/watch?v=JEMbFoDMoN8"">ใครใจดีขอเห็ดหน่อย</a>",Asia,Bennett Mona Ayaka,"Elemental Burst
Food Buffs
Stunned"
2.2,331018,"<a href=""https://www.youtube.com/watch?v=it5QbBp19sc"">SHOPCHZ</a>",Asia,Sara Mona Bennett,"Elemental Burst
Food Buffs
Stunned"
2.1,311941,"<a href=""https://www.youtube.com/watch?v=184glGqiuQg"">COCO♥</a>",Asia,Sara Bennett Mona,"Elemental Burst
Food Buff
Stunned"
2.3,212246,"<a href=""https://youtu.be/gyOZCEvI-Zc"">Whysilvers</a>",Asia,Jean Mona Bennett Shenhe,"Elemental Burst
Stunned"
2.3,209138,"<a href=""https://www.youtube.com/watch?v=C4MOItX8Rsg"">Garford</a>",Europe,Bennett Mona Zhongli,"Elemental Burst
Food Buffs"
2.1,204578,"<a href=""https://www.youtube.com/watch?v=bVL94Tyy0dA"">DQLN</a>",Europe,Bennett Mona Klee,"Elemental Burst
Food Buffs"
