Version,Damage,Alias,Region,Supports,Notes
2.1,840787,"<a href=""https://www.youtube.com/watch?v=cVrogGY83_c"">Chang死神TV</a>",Asia,Mona Ayaka Kazuha,"Elemental Burst
Food Buff
Stunned"
2.1,651092,"<a href=""https://www.youtube.com/watch?v=VinrtD4rBGc"">Zexxceed</a>",Asia,Mona Kazuha Ayaka,"Elemental Burst
Food Buffs
Coop"
2.3,539084,"<a href=""https://youtu.be/XvgRMl-YPfQ"">hvick831</a>",Asia,Bennett Kazuha Diona,"Elemental Burst
Food Buff"
