Version,Damage,Alias,Region,Supports,Notes
2.3,101738,"<a href=""https://www.youtube.com/watch?v=7SGIUAF74p4"">ARMMANII</a>",Asia,"Gorou, Zhongli, Mona","Elemental Skill, Food Buffs"
2.1,69697,"<a href=""https://youtu.be/l_WmK4XIylw"">ARMMANII</a>",Asia,Bennett Klee Zhongli,"Elemental Skill
Food Buffs
Stunned"
2.3,42658,"<a href=""https://www.youtube.com/watch?v=lVjj5QWaoZE"">Kyurxster</a>",Asia,Zhongli Mona Bennett,"Elemental Skill
Food Buffs"
